addr_winner,addr_norm,qty_rooms,addr_floor,total_floors,obj_square,price,price_m2,date,is_active,seller_name,exposition_days,metro_station_winner,metro_minutes_winner
"Ефремова ул., 10к1",,4,7,12,187.0,180000000,962567.0,2023-11-18,0,"Агентство Homeapp, Агент Наталья Зарубина, CIAN ID 99544312",32,Фрунзенская м.,8
"ЖК ""Level Южнопортовая""",,3,20,68,53.2,17956316,337525.0,2023-11-18,0,"Застройщик Level Group, CIAN ID 89540106",19,Кожуховская м.,9
"Михалковская ул., 48С8",,3,5,20,83.3,25114950,301500.0,2023-11-18,0,"Застройщик РГ-Девелопмент, CIAN ID 34428593",9,Коптево м. (МЦК),6
"Нагатинская наб., 12К2",,3,1,9,58.2,13200000,226804.0,2023-11-18,0,"Агентство МИЭЛЬ, МИЭЛЬ Офис Сущевский Отдел продаж 4, CIAN ID 108412806",22,,-1
"Сосенское поселение, Магеллана пр-т, 4",,3,2,15,88.8,20327268,228911.0,2023-11-18,0,"Застройщик А101, CIAN ID 51527448",50,,-1
"Прокшино д., ЖК ""Прокшино""",,1,3,10,35.0,9550000,272857.0,2023-11-18,0,"Агентство MSK Estate, Агент Оксана Коржова, CIAN ID 93225110",40,,-1
"Плеханова ул., 26К2",,3,3,5,59.3,13500000,227656.0,2023-11-18,0,"Агентство На Петровке, Агент Виктория Галанина, CIAN ID 56775911",47,,-1
"Сталеваров ул., 14К2",,3,10,16,65.4,12950000,198012.0,2023-11-18,0,"Агентство Верный номер, Агент Екатерина Голева, CIAN ID 103854886",18,,-1
"Кисловский Нижний пер., 3",,3,4,7,87.9,61997000,705313.0,2023-11-18,0,"Агентство NEWPOLIS, Агент Алексей Ракчеев, CIAN ID 90408838",71,Александровский Сад м.,5
"ЖК ""AFI Park Воронцовский""",,3,19,25,76.5,36562410,477940.0,2023-11-18,0,"Застройщик AFI Development, CIAN ID 66545285",8,Воронцовская м.,5
"ЖК ""Новое Очаково""",,1,7,16,32.4,12000000,370370.0,2023-11-18,0,"Агентство СМАРЕНТ, Агент Кирилл Оруджов, CIAN ID 95204189",45,Очаково м. (МЦД-4),5
"Болотниковская ул., 45К1",,3,4,5,59.6,18800000,315436.0,2023-11-18,0,"Собственник, CIAN ID 45145160",46,Зюзино м.,12
"Красногвардейский 1-й пр-д, 22с1",,3,63,68,102.0,86000000,843137.0,2023-11-18,0,"Агентство Рио-Люкс, Агент Василий Безникин, CIAN ID 103015079",75,Деловой центр м.,5
"Академика Королева ул., 21",,3,14,28,98.1,45640000,465240.0,2023-11-18,0,"Застройщик Sminex-Интеко, CIAN ID 104815611",6,Бутырская м.,10
"Мосрентген поселение, ЖК ""Тропарево парк""",,1,5,16,36.0,9700000,269444.0,2023-11-18,0,"Агентство Welcome 24, Агент Дамир Корнеев, CIAN ID 106613420",7,,-1
"ЖК ""Аквилон Митино""",,3,2,24,61.6,17717593,287623.0,2023-11-18,0,"Консультант Циан, CIAN ID 52395145",229,,-1
"Сосенское поселение, Сервантеса ул., 3А",,1,9,14,35.6,10927767,306960.0,2023-11-18,0,"Застройщик А101, CIAN ID 51527448",9,,-1
"Мосфильмовская ул., 8",,5,28,52,297.5,360000000,1210084.0,2023-11-18,0,"Агентство BARNES International Realty, Агент Вадим Чумак, CIAN ID 97541590",64,,-1
"ЖК ""Level Южнопортовая""",,3,30,68,68.6,19644734,286366.0,2023-11-18,0,"Застройщик Level Group, CIAN ID 89540106",15,Кожуховская м.,9
"ЖК ""Ривер Парк""",,3,12,19,83.6,34332848,410680.0,2023-11-18,0,"Застройщик Аеон Девелопмент, CIAN ID 12966972",10,,-1
"Митинская ул., 17К3",,3,11,22,79.5,22900000,288050.0,2023-11-18,0,"Собственник, CIAN ID 100161486",6,Митино м.,5
"Масловка Верхняя ул., 20С1",,3,2,9,124.8,49999999,400641.0,2023-11-18,0,"Агентство Премиум Сервис, CIAN ID 55355607",6,Петровский парк м.,8
"Маршала Рокоссовского бул., 6к1",,4,4,30,113.0,45000000,398230.0,2023-11-18,0,"Агентство NEXT LEVEL RIELT, Агент Ольга Никашова, CIAN ID 108662959",25,Бульвар Рокоссовского м.,7
"Бирюлевская ул., 5К1",,3,9,9,58.0,12150000,209483.0,2023-11-18,0,"Собственник, CIAN ID 108807979",34,,-1
"Рябиновая ул., 3к1",,3,21,25,64.0,24999000,390609.0,2023-11-18,0,"Собственник, CIAN ID 16427806",73,,-1
"Звенигородское ш., 2",,3,1,9,71.1,24500000,344585.0,2023-11-18,0,CIAN ID 225156,62,Улица 1905 года м.,1
"Фрунзенская наб., 24",,3,8,9,101.0,100000000,990099.0,2023-11-18,0,"Собственник, CIAN ID 48287913",21,Фрунзенская м.,9
"Открытое ш., 18Ак3",,3,33,33,68.3,27323295,400048.0,2023-11-18,0,"Застройщик ПИК, CIAN ID 9992698",6,Бульвар Рокоссовского м.,11
"ЖК ""Молжаниново""",,1,2,12,48.0,10659204,222067.0,2023-11-18,0,"Застройщик Группа Самолет, CIAN ID 44992355",47,,-1
"Коммунарка пос., Скандинавский бул., 6",,3,7,12,91.3,18000000,197152.0,2023-11-18,0,"Частный маклер Ирина Качанова, CIAN ID 7807152",18,,-1
"Коптевский бул., 16К1",,3,5,5,84.9,20500000,241461.0,2023-11-18,0,"Агентство ИНКОМ-Недвижимость, Офис ""Зеленый проспект"" Инком-Недвижимость, CIAN ID 24930395",94,Коптево м. (МЦК),12
"Мосфильмовская ул., 8",,3,10,12,147.0,89999999,612245.0,2023-11-18,0,CIAN ID 413522,285,,-1
"Сумская ул., 6К4",,3,2,9,56.6,12500000,220848.0,2023-11-18,0,"Агентство WHITE BROKER, Агент Наиль Саубанов, CIAN ID 109684226",11,Южная м.,5
"Спасская Большая ул., 35",,3,11,22,84.1,52079681,619259.0,2023-11-18,0,"Застройщик Центр-Инвест, CIAN ID 91397725",71,Комсомольская м.,4
"Кожуховская 5-я ул., 8",,3,2,5,92.6,22990000,248272.0,2023-11-18,0,"Агентство ИП Акритиди М. С., Агент Марина Акритиди, CIAN ID 289970",95,Автозаводская м.,2
"ЖК ""Аквилон Бисайд""",,1,19,25,34.0,11899000,349971.0,2023-11-18,0,"Агентство Этажи Москва, Агент Щекаев Евгений Анатольевич, CIAN ID 102309940",23,Нижегородская м.,11
"ЖК ""Авиатика""",,3,19,25,88.8,34854000,392500.0,2023-11-18,0,"Застройщик Э.К. Девелопмент, CIAN ID 66813875",51,Беговая м.,11
"Прокшино д., ЖК ""Прокшино""",,3,10,12,61.7,16000000,259319.0,2023-11-18,0,"Агентство HomeLand, Агент Ольга Белоусова, CIAN ID 108493824",15,,-1
"ЖК ""Событие""",,3,14,49,99.3,44645280,449600.0,2023-11-18,0,"Застройщик ДОНСТРОЙ, CIAN ID 92488567",15,Мичуринский проспект м.,14
"ЖК ""Level Южнопортовая""",,1,22,68,33.6,11655506,346890.0,2023-11-18,0,"Застройщик Level Group, CIAN ID 89540106",15,Кожуховская м.,9
"Библиотечная ул., 2",,3,1,12,61.0,18990000,311311.0,2023-11-18,0,"Агентство ИНКОМ-Недвижимость, Офис ""Сходненский"" Инком-Недвижимость, CIAN ID 24930416",150,Площадь Ильича м.,9
"Пятницкое ш., 7",,3,6,17,74.3,19500000,262450.0,2023-11-18,0,"Агентство Самолет Плюс Москва ЦАО, Агент Анастасия Козлова, CIAN ID 108341051",52,Волоколамская м.,6
"Архитектора Власова ул., 71к2",,3,34,34,74.7,35885880,480400.0,2023-11-18,0,CIAN ID 39404589,10,Воронцовская м.,6
"Коммунарка пос., ЖК ""Бунинские кварталы""",,3,6,17,61.3,12870398,209958.0,2023-11-18,0,"Застройщик А101, CIAN ID 51527448",12,,-1
"ЖК ""Алтуфьевское 53""",,1,18,33,34.4,10994011,319593.0,2023-11-18,0,"Застройщик ПИК, CIAN ID 9992698",36,,-1
"Вешних Вод ул., 2К5",,3,1,17,71.0,13400000,188732.0,2023-11-18,0,"Агентство БЕСТ-НЕДВИЖИМОСТЬ Восток, Агент Наталья Назарова, CIAN ID 107667626",18,,-1
"ЖК ""Сити Бэй"", к1",,3,48,52,75.8,27000000,356201.0,2023-11-18,0,"Агентство Владис, Агент Артем Селионов, CIAN ID 97371321",61,,-1
"Нагатинская ул., 17к1",,3,7,9,57.0,15200000,266667.0,2023-11-18,0,"Агентство МАЯК, Агент Анна Белова, CIAN ID 465291",34,,-1
"ЖК ""Роттердам""",,3,13,29,76.4,28675487,375334.0,2023-11-18,0,"Застройщик ГК ФСК, CIAN ID 18400645",71,Нагатинская м.,10
"Коммунарка пос., ЖК ""Скандинавия""",,3,9,16,57.7,14284501,247565.0,2023-11-18,0,"Застройщик А101, CIAN ID 51527448",21,,-1
"Маргелова ул., 3к5",,3,15,25,85.1,33614500,395000.0,2023-11-18,0,"Застройщик Э.К. Девелопмент, CIAN ID 66813875",31,Беговая м.,13
"ЖК ""HighWay (ХайВей)""",,1,11,23,37.1,8702263,234562.0,2023-11-18,0,"Консультант Циан, CIAN ID 47919092",6,Волгоградский проспект м.,3
"Маршала Рокоссовского бул., 6К1Г",,4,2,30,128.9,39600000,307215.0,2023-11-18,0,CIAN ID 903483,35,Бульвар Рокоссовского м.,6
"ЖК ""Level Южнопортовая""",,3,28,69,71.2,23500000,330056.0,2023-11-18,0,"Собственник, CIAN ID 48414920",15,Кожуховская м.,11
"Краснодарская ул., 74к2",,3,14,14,74.5,19550000,262416.0,2023-11-18,0,CIAN ID 22493,74,,-1
"Обручева ул., 1",,3,57,58,96.1,58221704,605845.0,2023-11-18,0,"Застройщик Группа ЛСР, CIAN ID 108286368",17,Калужская м.,7
"Заревый пр-д, 10",,2,9,16,50.0,13500000,270000.0,2023-11-18,0,CIAN ID 194777,6,Медведково м.,4
ЖК «Нагатино Ай-Ленд»,,3,7,36,67.7,25500000,376662.0,2023-11-18,0,"Агентство CENTURY 21, Агент Александр Калентьев, CIAN ID 79947038",15,Технопарк м.,9
"Пироговская Большая ул., 8",,3,7,13,85.0,99500000,1170588.0,2023-11-18,0,"Агентство Premium Realty, Агент Галина Шарипова, CIAN ID 91511811",41,Спортивная м.,9
"Ленинградское ш., 228к4",,1,11,15,34.4,10904800,317000.0,2023-11-18,0,"Застройщик ДСК-1, CIAN ID 18400648",6,,-1
"Береговая ул., 4К1",,5,4,6,237.3,241480250,1017616.0,2023-11-18,0,"Агентство OXE CAPITAL - Элитная Недвижимость, Агент Наталья Бирюкова, CIAN ID 46835395",78,,-1
"Валдайский пр-д, 10к1",,3,11,25,82.6,24000000,290557.0,2023-11-18,0,"Агентство ИНКОМ-Недвижимость, Офис ""Тургеневский"" Инком-Недвижимость, CIAN ID 24930403",9,Беломорская м.,9
"Мосфильмовская ул., 8",,5,28,53,297.5,360000000,1210084.0,2023-11-18,0,"Агентство Intermark Real Estate - ранее Savills - городская недвижимость, Агент Татьяна Грознер, CIAN ID 44082420",21,,-1
"Чапаевский пер., 3",,4,51,57,166.0,110000000,662651.0,2023-11-18,0,"Агентство Apple Real Estate, Агент Ксения Панькова, CIAN ID 91252258",175,Аэропорт м.,10
"Шокальского пр-д, 36К2",,3,3,9,62.0,15870000,255968.0,2023-11-18,0,CIAN ID 395262,32,Медведково м.,12
"Арбат Новый ул., 29",,3,5,17,211.8,130000000,613787.0,2023-11-18,0,"Агентство REPLACE, CIAN ID 189874",117,Смоленская м.,6
"ЖК ""Интеллигент""",,3,16,28,61.4,21490614,350010.0,2023-11-18,0,"Консультант Циан, CIAN ID 52395145",3,Электрозаводская м.,1
"Лобачевского ул., 120к1",,5,25,36,108.0,35000000,324074.0,2023-11-18,0,CIAN ID 105566681,7,Аминьевская м.,8
"ЖК ""Амурский парк""",,3,20,28,72.2,18000000,249307.0,2023-11-18,0,"Частный маклер Анна Александрова, CIAN ID 107831603",58,Черкизовская м.,7
"Отрадная ул., 18В",,3,5,9,60.0,15300000,255000.0,2023-11-18,0,"Агентство Качанова и партнеры, Агент Татьяна Хромова, CIAN ID 13658302",8,,-1
"Чукотский пр-д, 4",,3,15,17,74.0,25000000,337838.0,2023-11-18,0,"Агент Наталья Серебрякова, CIAN ID 302796",33,Бабушкинская м.,10
"Голубинская ул., 32/2",,3,10,16,78.0,20500000,262821.0,2023-11-18,0,"Агентство Landis, CIAN ID 31959769",16,Новоясеневская м.,15
"ЖК ""Вест Гарден""",,3,7,13,95.7,50250000,525078.0,2023-11-18,0,"Застройщик Sminex-Интеко, CIAN ID 104815611",15,,-1
"Кронштадтский бул., 8к2",,1,15,34,36.1,13200000,365651.0,2023-11-18,0,"Агентство Этажи Москва, Агент Шалашникова Марина Станиславовна, CIAN ID 90413870",23,Водный стадион м.,10
"ЖК ""Новое Очаково""",,1,24,33,32.4,11645010,359414.0,2023-11-18,0,"Застройщик ПИК, CIAN ID 9992698",6,,-1
"Чуксин туп., 4",,3,3,5,79.0,26000000,329114.0,2023-11-18,0,CIAN ID 31302,17,Гражданская метро (МЦД-2),4
"Московский г., Первый Московский мкр, Никитина ул., 4",,3,18,22,78.7,16270822,206745.0,2023-11-18,0,"Застройщик Абсолют Недвижимость, CIAN ID 69310994",46,,-1
"Полянка Большая ул., 9С3",,4,2,6,165.0,280500000,1700000.0,2023-11-18,0,"Агентство Kalinka Group, CIAN ID 39581",54,Полянка м.,6
"Сколковское ш., 40к3",,3,8,14,77.8,20449963,262853.0,2023-11-18,0,"Консультант Циан, CIAN ID 52395145",4,,-1
"ЖК ""Foriver""",,3,14,14,91.0,40000000,439560.0,2023-11-18,0,"Агентство МИЭЛЬ, МИЭЛЬ Офис Сущевский Отдел продаж 1, CIAN ID 17324058",35,,-1
"Славянская пл., 2/5с1",,3,2,8,107.0,89500000,836449.0,2023-11-18,0,"Агентство Mosaic Realty, Агент Ольга Берлин, CIAN ID 77293287",87,Китай-Город м.,2
"Годовикова ул., 11к5",,3,8,37,100.7,41194480,409081.0,2023-11-18,0,"Застройщик КОРТРОС, CIAN ID 88014230",13,Алексеевская м.,13
"Строителей ул., 6К3",,3,7,8,80.2,38900000,485037.0,2023-11-18,0,CIAN ID 21175033,151,Университет м.,4
"Озерная ул., 42С7",,3,24,30,67.9,25090000,369514.0,2023-11-18,0,"Застройщик ГК Страна Девелопмент, CIAN ID 103719092",15,Озерная м.,8
"Костикова ул., 4к3",,4,13,21,135.6,167000000,1231563.0,2023-11-18,0,CIAN ID 7569228,23,Улица 1905 года м.,9
"Братская ул., 21К1",,3,9,16,53.4,13600000,254682.0,2023-11-18,0,CIAN ID 15062968,23,Перово м.,6
"Солнцевский просп., 9К1",,3,1,9,57.1,14690000,257268.0,2023-11-18,0,"Агентство Этажи Москва, Агент Глазункова Надежда Юрьевна, CIAN ID 68154115",23,Солнцево м.,10
"Перовское ш., 18/1",,2,8,8,60.0,25000000,416667.0,2023-11-18,0,"Собственник, CIAN ID 769327",6,Стахановская м.,13
"Академика Капицы ул., 6",,3,22,22,78.8,25000000,317259.0,2023-11-18,0,"Собственник, CIAN ID 105561257",116,Коньково м.,6
"ЖК ""Foriver""",,3,10,13,119.9,51817524,432173.0,2023-11-18,0,"Застройщик ГК Инград, CIAN ID 98438794",6,,-1
"Сосенское поселение, Прокшинский просп., 11",,3,10,18,68.0,15799000,232338.0,2023-11-18,0,"Агентство СмениКварти.ру Проспект Вернадского, Агент Инга Дулова, CIAN ID 92440968",128,Прокшино м.,7
"ЖК ""Перовское 2""",,1,16,33,32.3,12200000,377709.0,2023-11-18,0,CIAN ID 47545786,12,Нижегородская м.,7
"Автозаводская ул., 26",,3,4,20,98.1,41780664,425899.0,2023-11-18,0,"Застройщик Forma, CIAN ID 82877895",31,Тульская м.,13
"Марьиной Рощи 4-я ул., 12К1",,3,32,55,85.5,32200000,376608.0,2023-11-18,0,"Агентство Лобстер Групп, CIAN ID 26757073",22,Марьина Роща м.,8
"Часовая ул., 28к8",,3,13,25,79.2,32408640,409200.0,2023-11-18,0,"Застройщик FORMA, CIAN ID 82877895",24,Красный Балтиец метро (МЦД-2),6
"Волгоградский просп., 144",,3,1,5,57.7,13150000,227903.0,2023-11-18,0,CIAN ID 67483,8,,-1
"Винницкая ул., 8к4",,3,7,28,67.0,34410134,513584.0,2023-11-18,0,"Представитель застройщика Центр-Инвест, CIAN ID 91397725",45,Раменки м.,9
"Михалковская ул., 50",,1,4,28,39.6,12600000,318182.0,2023-11-18,0,"Агентство Макспол Парк Культуры, Агент Ирина Тулякова, CIAN ID 107562471",42,Коптево м. (МЦК),9
"Каширское ш., 148к1",,3,8,24,70.0,16700000,238571.0,2023-11-18,0,CIAN ID 21674298,13,,-1
"Климентовский пер., 6",,6,4,8,152.0,87000000,572368.0,2023-11-18,0,CIAN ID 153209,200,Новокузнецкая м.,2
"Внуковское поселение, Андрея Тарковского бул., 3",,1,6,9,42.0,12200000,290476.0,2023-11-18,0,"Агентство Этажи Москва, Агент Строева Валентина Сергеевна, CIAN ID 47137507",23,,-1
"Измайловский пр-д, 10К2",,3,4,13,120.0,64990000,541583.0,2023-11-18,0,"Частный маклер Мария Кропачева, CIAN ID 10502398",23,Измайловская м.,11
"Остафьево с., ЖК ""Остафьево""",,3,8,10,76.7,13888484,181075.0,2023-11-18,0,"Застройщик Группа Самолет, CIAN ID 44992355",8,,-1
"Нижегородская ул., 32С3",,1,1,7,15.3,7800000,509804.0,2023-11-18,0,"Собственник, CIAN ID 12597808",5,Римская м.,11
"Рязанский просп., 5",,1,11,16,36.2,11800000,325967.0,2023-11-18,0,"Агентство Макромир, Агент Ирина Дерюгина, CIAN ID 760747",34,Нижегородская м.,4
"Летчика Бабушкина ул., 33К1",,1,7,12,35.0,12000000,342857.0,2023-11-18,0,CIAN ID 13485010,10,Бабушкинская м.,9
"Долгоруковская ул., 23АС2",,6,4,4,357.2,350000000,979843.0,2023-11-18,0,"Агентство ALFA real estate, Агент Никита Артемов, CIAN ID 72689982",134,Новослободская м.,7
"Горчаково д., Школьная ул., 5К1",,1,1,4,40.0,7150000,178750.0,2023-11-18,0,"Собственник, CIAN ID 64956270",8,,-1
"Сколковское ш., 30",,3,18,22,77.0,18500000,240260.0,2023-11-18,0,CIAN ID 48466003,18,,-1
"Совхозная ул., 8Б",,1,9,16,36.8,13000000,353261.0,2023-11-18,0,CIAN ID 97605593,27,Люблино м.,11
"Зверево д., Кленовый кв-л, Десятинная ул., 1",,3,2,3,73.2,9550000,130464.0,2023-11-18,0,"Агентство Самолет Плюс Москва, Агент Елена Макарова, CIAN ID 50392411",173,,-1
"Хавская ул., 3",,5,1,9,134.0,39500000,294776.0,2023-11-18,0,CIAN ID 95159,36,Шаболовская м.,10
"Болотниковская ул., 43К1",,2,15,18,57.0,20000000,350877.0,2023-11-18,0,"Собственник, CIAN ID 63351024",27,Зюзино м.,11
"Пулковская ул., 2",,4,25,26,96.5,34500000,357513.0,2023-11-18,0,"Агентство Этажи Москва, Агент Спирин Денис Александрович, CIAN ID 48432867",23,Водный стадион м.,7
"Литовский бул., 19",,1,15,22,39.0,12400000,317949.0,2023-11-18,0,"Собственник, CIAN ID 109067041",15,Новоясеневская м.,10
"Неманский пр-д, 3",,1,3,9,32.4,10700000,330247.0,2023-11-18,0,CIAN ID 99013371,7,,-1
"Ростовский 7-й пер., 15",,5,5,9,206.0,244603150,1187394.0,2023-11-18,0,"Агентство NF Group - ex-Knight Frank Russia, CIAN ID 322500",59,Киевская м.,7
"Марьино пос., Светлый бул., 10/2",,3,3,3,75.0,8800000,117333.0,2023-11-18,0,"Агентство ИНКОМ-Недвижимость, Офис ""Беляево"" Инком-Недвижимость, CIAN ID 24930420",29,,-1
"Раевского ул., 3",,2,6,10,42.5,18800000,442353.0,2023-11-18,0,CIAN ID 47566488,64,Киевская м.,9
"Ленинградский просп., 35С2",,4,6,12,100.0,44850000,448500.0,2023-11-18,0,CIAN ID 12362207,64,Динамо м.,6
"Красносельская Верхняя ул., 9",,6,5,7,257.6,145000000,562888.0,2023-11-18,0,"Агент Наталья Желаднова, CIAN ID 379768",96,Красносельская м.,7
"Нижегородская ул., 74",,1,4,12,34.3,11400000,332362.0,2023-11-18,0,"Агентство Монолит Столица, Агент Владислав Стремяков, CIAN ID 92813716",66,Калитники метро (МЦД-2),10
"Вернадского просп., 92",,2,5,22,80.0,39900000,498750.0,2023-11-18,0,"Агент Саргылана Вострякова, CIAN ID 13465318",21,Юго-Западная м.,15
"Красногвардейский 1-й пр-д, 22с2",,3,13,78,90.0,54000000,600000.0,2023-11-18,0,"Агентство МОСКВА СИТИ, Агент Нина Суворова, CIAN ID 104017085",62,Международная м.,2
"Чечерский пр-д, 24К2",,1,5,12,27.4,8000000,291971.0,2023-11-18,0,"Агентство ИНГРУПП, CIAN ID 60098",25,Улица Горчакова м.,8
"№ 100 кв-л (Кунцево), 1к3",,1,15,25,19.6,7800000,397959.0,2023-11-18,0,"Агентство Владис, Агент Виталий Попов, CIAN ID 96195666",16,,-1
"Озерная ул., 4К2",,2,12,17,58.6,19990000,341126.0,2023-11-18,0,"Агентство ГОРОДА, Агент Мамед Багиров, CIAN ID 104800381",17,Аминьевская м.,13
"Кропоткинский пер., 20С1",,2,5,5,42.0,23000000,547619.0,2023-11-18,0,"Агентство CENTURY 21, Агент Алексей Коваленко, CIAN ID 102342754",42,Парк культуры м.,9
"Покрышкина ул., 1к1",,2,2,27,85.3,40000000,468933.0,2023-11-18,0,CIAN ID 24934198,27,Юго-Западная м.,4
"Лихачевский 3-й пер., 3К2",,1,2,16,38.2,10150000,265707.0,2023-11-18,0,CIAN ID 233469,34,Коптево м. (МЦК),15
"Снайперская ул., 14/9",,1,1,9,33.1,7700000,232628.0,2023-11-18,0,"Агент Александра Вельдина, CIAN ID 16120256",9,Выхино м.,10
"Фадеева ул., 4А",,5,4,13,198.8,212191008,1067359.0,2023-11-18,0,"Агентство TimeProperty, Агент Тайм Проперти, CIAN ID 57413462",230,Новослободская м.,8
"Смоленский 1-й пер., 21",,2,3,7,93.0,70000000,752688.0,2023-11-18,0,"Агентство Verges of estate, Агент Сергей Бурт, CIAN ID 73098001",59,Смоленская м.,2
"Парковая 9-я ул., 52К2",,1,5,5,30.0,9700000,323333.0,2023-11-18,0,CIAN ID 79207,30,Щелковская м.,10
"Ленинский просп., 70/11",,5,6,9,133.5,69890000,523521.0,2023-11-18,0,"Собственник, CIAN ID 97213780",146,Университет м.,9
"Сколковское ш., 26К2",,1,7,16,34.5,9999999,289855.0,2023-11-18,0,"Агент Андрей Ротщильд, CIAN ID 26409",12,,-1
"Медынская ул., 4/1",,3,3,12,62.8,11000000,175159.0,2023-11-18,0,"Частный маклер Наталия Гехт, CIAN ID 42491485",19,,-1
"Подольская ул., 1",,3,9,12,60.8,17000000,279605.0,2023-11-18,0,"Агентство РОЙАЛ-недвижимость, CIAN ID 20233",24,Перерва метро (МЦД-2),10
"Винницкая ул., 13",,2,6,12,44.4,16000000,360360.0,2023-11-18,0,"Агент Светлана Штырняева, CIAN ID 71843385",5,Раменки м.,6
"Столбово д., ЖК ""Южное Бунино""",,3,8,9,76.0,12500000,164474.0,2023-11-18,0,"Агентство Макспол Парк Культуры, Агент Ирина Тулякова, CIAN ID 107562471",10,,-1
"Грайвороновский 2-й пр-д, 38К1",,1,11,24,40.0,12600000,315000.0,2023-11-18,0,"Агентство CENTURY 21 Перспектива, Агент Елена Макарова, CIAN ID 100977179",51,Нижегородская м.,15
"Мурановская ул., 13",,1,9,12,33.0,10400000,315152.0,2023-11-18,0,"Агентство МГСН-отдел продаж, МГСН Отделение Новослободское, CIAN ID 68084631",19,Алтуфьево м.,12
"Жулебинский бул., 1",,1,9,24,35.1,8950000,254986.0,2023-11-18,0,"Агентство Аврора Проперти, CIAN ID 13460140",37,Лермонтовский проспект м.,8
"Палиха ул., 7-9К6",,4,2,4,75.0,35000000,466667.0,2023-11-18,0,CIAN ID 12738419,31,Менделеевская м.,4
"Федора Полетаева ул., 21К1",,3,5,12,65.0,15000000,230769.0,2023-11-18,0,"Агентство CENTURY 21, Агент Ирина Ратникова, CIAN ID 107045905",21,Рязанский проспект м.,14
"Маросейка ул., 11/4С1",,2,1,2,107.7,107700000,1000000.0,2023-11-18,0,"Агентство BELFORT, Агент Филипп Соколов, CIAN ID 108849221",23,Китай-Город м.,3
"Коммунарка пос., Скандинавский бул., 17",,3,9,12,87.0,17650000,202874.0,2023-11-18,0,"Агентство Яищу, Агент Юрий Шелипов, CIAN ID 101404996",52,,-1
"Троицк г., Центральная ул., 10",,1,1,5,30.9,5400000,174757.0,2023-11-18,0,"Агентство Бест-Пресня, CIAN ID 12560336",31,,-1
"Андропова просп., 10",,1,17,24,19.0,9800000,515789.0,2023-11-18,0,"Собственник, CIAN ID 47482173",11,Технопарк м.,2
"Московский поселение, Татьянин Парк ул., 16К1",,2,8,17,68.0,23500000,345588.0,2023-11-18,0,CIAN ID 19660,22,Говорово м.,10
"Кленово с., Мичурина ул., 4",,1,3,5,36.4,5600000,153846.0,2023-11-18,0,"Агентство Семь Высоток, Агент Елена Труфанова, CIAN ID 77286745",48,,-1
"Молодцова ул., 19К2",,2,5,17,60.5,18000000,297521.0,2023-11-18,0,"Агентство Кремлёвские Ключи, Агент Евгений Губин, CIAN ID 68283012",32,,-1
"Десеновское поселение, Новые Ватутинки Южный мкр, Футбольная ул., 32",,3,2,3,77.8,19500000,250643.0,2023-11-18,0,"Агентство ГОРОБМЕН, Агент ЕВГЕНИЙ ОЛЕЙНИК, CIAN ID 105975581",36,,-1
"Шипиловский пр-д, 69",,1,4,9,35.1,8550000,243590.0,2023-11-18,0,"Агентство Владис, Агент Андрей Богомолов, CIAN ID 89000998",53,,-1
"Маршала Жукова просп., 47",,4,20,22,100.0,34000000,340000.0,2023-11-18,0,CIAN ID 13480566,35,Народное Ополчение м.,14
"Ленинградский просп., 36с39",,6,17,17,230.0,147400000,640870.0,2023-11-18,0,"Агентство МЕЗОН, Агент Екатерина Стародубцева С, CIAN ID 191602",18,Динамо м.,7
"Абрамцевская ул., 8А",,3,4,16,74.6,17800000,238606.0,2023-11-18,0,"Агентство ИНКОМ-Недвижимость, Офис ""Сокол"" Инком-Недвижимость, CIAN ID 24930409",22,Алтуфьево м.,11
"Тагильская ул., 4В",,2,21,24,58.0,17800000,306897.0,2023-11-18,0,"Собственник, CIAN ID 11037389",31,,-1
"Сосенское поселение, Александры Монаховой ул., 105К1",,3,17,17,89.0,17200000,193258.0,2023-11-18,0,"Агентство Этажи Москва, Агент Рябошенко Александр Олегович, CIAN ID 99102182",17,,-1
"Ватутинки пос., Ватутинская 1-я ул., 14к1",,1,9,13,36.2,8000000,220994.0,2023-11-18,0,CIAN ID 45092663,9,,-1
"Невельского пр-д, 3к1",,1,3,16,30.0,13199000,439967.0,2023-11-18,0,"Агентство Этажи Москва, Агент Гаджиахмедова Лейла, CIAN ID 107834083",19,Авиамоторная м.,15
"Басманная Новая ул., 4-6С3",,3,1,8,55.2,21000000,380435.0,2023-11-18,0,"Агентство Tikhomirova Estate, CIAN ID 27554",35,Красные ворота м.,4
"Остафьево с., ЖК ""Остафьево""",,3,4,14,73.2,13328261,182080.0,2023-11-18,0,"Застройщик Группа Самолет, CIAN ID 44992355",12,,-1
"Сосенское поселение, Куприна просп., 38к1",,1,8,14,31.0,8650000,279032.0,2023-11-18,0,CIAN ID 16109157,32,,-1
"Маршала Тимошенко ул., 17К2",,3,13,20,118.3,52000000,439560.0,2023-11-18,0,,35,Крылатское м.,15
"Красный Казанец ул., 3К6",,3,1,9,57.9,11100000,191710.0,2023-11-18,0,CIAN ID 14072220,68,,-1
"Вернадского просп., 41С1",,1,2,10,14.4,8000000,555556.0,2023-11-18,0,"Агентство ГОРОДА, Агент Александр Кузнецов, CIAN ID 107330427",12,Проспект Вернадского м.,5
